;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011
2000-05-31;1,021351;0,939784;-1,197994;0,852546;-7,556283;-0,701529;1,010886
2000-06-30;0,972693;0,822315;12,477807;17,973124;1,576473;8,536863;0,959296
2000-07-31;1,016717;1,012362;14,441351;16,792371;-4,483042;17,678125;0,980815
2000-08-31;1,01052;1,070301;-41,260986;-19,818355;-42,523136;-40,639736;1,022239
2000-09-30;0,993965;1,015307;24,517594;13,02776;13,443392;8,542744;0,992148
2000-10-31;1,034389;1,048608;17,440137;16,212822;4,699037;10,11581;1,02283
2000-11-30;0,980391;0,991062;-5,608866;-2,726148;6,180563;-1,077095;0,987562
2000-12-31;1,023774;1,053444;-37,065421;-24,825244;19,967358;-20,793596;1,019957
2001-01-31;1,013969;1,031658;-4,64138;-21,735186;8,286788;7,79943;1,02683
2001-02-28;0,929269;0,971221;-3,137468;-10,293001;2,781371;-0,430367;0,929278
2001-03-31;1,027408;1,054706;18,954952;8,317296;6,044854;10,378145;1,025083
2001-04-30;0,97614;0,966665;6,954604;6,982394;-9,601619;0,618428;1,026695
2001-05-31;1,028759;0,968584;0,000502;1,094443;-5,13888;-0,791291;1,014932
2001-06-30;0,973641;0,851536;11,508995;17,501919;2,210909;8,556623;0,950088
2001-07-31;1,010894;1,006672;13,94619;17,071684;-4,064124;16,138798;0,97679
2001-08-31;1,009917;1,064875;-39,65566;-20,911595;-43,431206;-38,949379;1,025949
2001-09-30;0,990146;1,016438;22,087259;12,889775;12,593553;8,546782;0,988957
2001-10-31;1,032223;1,034328;15,134474;16,569701;3,672536;10,070458;1,031267
2001-11-30;0,981191;0,95603;-6,070351;-2,10292;6,667037;-0,950281;0,986252
2001-12-31;1,024805;1,050245;-39,325447;-25,348369;19,296582;-21,233498;1,013965
2002-01-31;1,012486;1,035082;-2,754766;-22,19523;6,895443;8,574182;1,032014
2002-02-28;0,928673;0,965508;-0,88632;-10,830953;2,929517;-0,911187;0,928123
2002-03-31;1,02899;1,056009;18,260145;7,601615;6,426359;10,287476;1,026617
2002-04-30;0,978585;0,977498;10,303503;8,45343;-9,065393;0,543726;1,027157
2002-05-31;1,033764;1,002798;-0,803068;1,888825;-3,354841;-0,681679;1,014772
2002-06-30;0,974128;0,881934;11,675261;17,837912;3,062434;8,758047;0,948591
2002-07-31;1,006736;1,000086;13,290576;17,381383;-3,560732;14,705654;0,971387
2002-08-31;1,009216;1,047738;-38,784169;-22,019882;-43,508602;-37,083153;1,026893
2002-09-30;0,986363;1,008341;19,705309;13,066801;12,489032;8,569075;0,990695
2002-10-31;1,031641;1,019185;12,534572;16,514528;2,017674;9,27384;1,037167
2002-11-30;0,982324;0,924054;-5,10688;-2,016761;6,250696;-0,581797;0,985612
2002-12-31;1,027768;1,047815;-39,441451;-25,968257;17,819073;-21,085205;1,01154
2003-01-31;1,012603;1,047482;-1,78271;-22,586276;6,100195;8,589703;1,030872
2003-02-28;0,928991;0,966925;0,569751;-11,389871;2,828107;-1,864509;0,92338
2003-03-31;1,028454;1,051278;17,501767;7,39389;7,118341;10,250518;1,037937
2003-04-30;0,978643;0,99643;12,493613;9,456755;-8,292702;0,614781;1,020183
2003-05-31;1,034336;1,029088;-0,9563;3,003146;-1,023319;-0,358476;1,014617
2003-06-30;0,973774;0,902095;12,231887;18,981719;3,93187;9,566155;0,954716
2003-07-31;1,004145;0,996256;11,327222;16,637126;-4,041074;13,214708;0,963294
2003-08-31;1,007928;1,027957;-37,143703;-23,124235;-42,788725;-35,628898;1,02678
2003-09-30;0,985348;0,995026;16,294644;13,366001;11,873765;8,936899;0,996051
2003-10-31;1,033134;1,007795;9,773585;15,760972;-0,062462;8,285612;1,035997
2003-11-30;0,98703;0,909547;-2,730738;-1,482049;5,575463;-0,609436;0,986572
2003-12-31;1,030673;1,046328;-37,187182;-26,153716;16,74644;-19,985473;1,010544
2004-01-31;1,01235;1,05854;-1,120453;-22,529303;6,836755;7,931513;1,027605
2004-02-29;0,927888;0,964205;-0,393238;-12,133271;2,572275;-3,053219;0,919972
2004-03-31;1,025798;1,052194;17,82042;7,181785;8,033839;10,730565;1,049756
2004-04-30;0,975967;1,010487;13,708419;9,764993;-8,597785;0,244013;1,011245
2004-05-31;1,031844;1,040202;-2,120289;4,08201;0,986768;-0,281982;1,012729
2004-06-30;0,974733;0,920294;12,772688;20,322219;3,787583;10,266388;0,965605
2004-07-31;1,004344;0,993186;9,665485;15,860143;-3,775191;11,817695;0,953729
2004-08-31;1,008661;1,011144;-34,976173;-23,75838;-41,65396;-33,61374;1,029578
2004-09-30;0,985297;0,982336;12,912021;13,175873;11,614845;9,679102;1,000318
2004-10-31;1,034828;1,006066;8,166262;14,952108;-2,839338;7,249062;1,032825
2004-11-30;0,990085;0,907789;-0,58526;-1,073672;4,974439;-0,56367;0,990148
2004-12-31;1,033187;1,038337;-34,890236;-26,73524;15,964678;-18,506959;1,007327
2005-01-31;1,01233;1,065607;-0,689071;-22,246142;7,568584;6,412643;1,020831
2005-02-28;0,929039;0,965217;-0,936471;-11,71187;3,507471;-4,527043;0,919956
2005-03-31;1,02021;1,052137;18,293937;7,823467;8,597871;11,127495;1,062664
2005-04-30;0,972858;1,018525;13,684116;9,260265;-9,92156;-0,62691;1,001584
2005-05-31;1,027447;1,039402;-3,35191;4,510655;3,119045;0,062312;1,01352
2005-06-30;0,977281;0,933276;12,453668;21,203571;3,808322;11,224105;0,973436
2005-07-31;1,005613;0,994182;8,021763;15,116068;-3,169985;10,801962;0,946634
2005-08-31;1,010889;1,003088;-32,097707;-24,339047;-40,628906;-31,536858;1,028674
2005-09-30;0,986954;0,969601;9,7192;12,991839;10,200386;10,554259;1,004107
2005-10-31;1,035762;1,008735;8,095789;14,528116;-5,584786;6,704366;1,030804
2005-11-30;0,99184;0,919377;2,394054;-0,42119;4,133079;-0,863428;0,991385
2005-12-31;1,034538;1,029041;-33,622196;-27,315543;15,266753;-17,798263;1,007888
2006-01-31;1,011359;1,066854;-1,015961;-21,8986;9,731911;5,503031;1,017578
2006-02-28;0,927119;0,960883;-1,89287;-11,207253;5,751168;-5,509178;0,920736
2006-03-31;1,017002;1,053137;18,724392;7,79839;9,037062;10,890705;1,066049
2006-04-30;0,971682;1,01781;12,624836;8,84511;-11,746184;-2,138107;0,99952
2006-05-31;1,022707;1,032735;-5,085738;4,417289;4,310362;0,316468;1,009013
2006-06-30;0,98053;0,947953;11,812948;21,561188;3,183621;11,381627;0,978047
2006-07-31;1,007573;0,997773;9,056903;15,494907;-2,79121;10,944677;0,946255
2006-08-31;1,015267;0,998251;-29,63618;-24,481834;-39,968815;-28,998989;1,024462
2006-09-30;0,988722;0,961424;8,357917;12,868486;9,085345;11,699518;1,007599
2006-10-31;1,035587;1,015594;9,124374;14,703387;-8,371582;6,748442;1,032695
2006-11-30;0,990545;0,934739;3,581698;-0,207701;4,262984;-1,179971;0,992322
2006-12-31;1,032667;1,017077;-35,026036;-28,429733;15,229215;-18,324777;1,01088
2007-01-31;1,01016;1,066345;-2,037439;-22,006513;10,760931;4,395226;1,012562
2007-02-28;0,925277;0,961463;-1,373436;-11,261696;8,541834;-6,300366;0,921283
2007-03-31;1,016698;1,049827;18,444065;8,314822;9,499705;10,416803;1,067531
2007-04-30;0,974256;1,005838;11,391449;8,934673;-13,071775;-3,063331;0,998275
2007-05-31;1,018154;1,025631;-5,439068;3,863268;4,803371;0,349842;1,001389
2007-06-30;0,983705;0,95735;11,336527;22,094178;3,485563;11,443193;0,981873
2007-07-31;1,009234;1,006178;10,913312;16,377069;-3,921181;11,451628;0,951856
2007-08-31;1,017702;0,997521;-26,96658;-24,732838;-40,027447;-26,403217;1,016201
2007-09-30;0,991106;0,956516;7,984635;13,186418;7,814889;12,12441;1,013209
2007-10-31;1,035211;1,018336;9,741213;14,927016;-9,195731;7,277431;1,035827
2007-11-30;0,98967;0,957971;3,107657;-0,365925;4,40419;-1,440617;0,988985
2007-12-31;1,027891;1,015007;-37,640251;-30,043729;15,555038;-19,266857;1,017267
2008-01-31;1,007348;1,062793;-3,281192;-22,552949;11,09757;3,335668;1,007281
2008-02-29;0,920699;0,958846;-0,707394;-11,240785;10,953022;-6,17133;0,920821
2008-03-31;1,019224;1,043113;18,721598;9,459151;10,373213;9,730686;1,065535
2008-04-30;0,980287;0,985165;10,23367;9,531977;-14,557434;-3,804502;0,999926
2008-05-31;1,017425;1,014845;-4,886626;2,769875;4,862461;0,380847;0,994494
2008-06-30;0,986311;0,967556;10,621669;21,895424;4,213419;10,367352;0,985046
2008-07-31;1,010478;1,014593;13,645493;17,513088;-5,680585;11,937085;0,959326
2008-08-31;1,019325;0,997934;-25,557219;-24,563214;-40,434136;-23,630697;1,010319
2008-09-30;0,992709;0,957969;9,371339;13,895466;6,471352;12,581316;1,017685
2008-10-31;1,032158;1,025729;10,313264;14,927013;-8,558161;8,120002;1,036641
2008-11-30;0,987597;0,977561;0,719272;-1,003203;5,55146;-1,470582;0,985879
2008-12-31;1,023322;1,018713;-41,020534;-31,566236;15,361628;-20,273355;1,021991
2009-01-31;1,004114;1,057513;-3,704889;-22,625341;10,897918;1,897662;0,998826
2009-02-28;0,918178;0,954874;-0,114635;-11,595179;12,14411;-6,167152;0,923043
2009-03-31;1,021302;1,028896;18,821233;11,18314;10,997349;9,137839;1,065933
2009-04-30;0,988006;0,966512;10,031761;9,806273;-15,854196;-3,509828;1,000236
2009-05-31;1,018567;1,008454;-4,148538;1,59574;4,916475;0,708016;0,992178
2009-06-30;0,987343;0,975293;11,501908;21,628368;6,199784;9,177179;0,988184
2009-07-31;1,010801;1,020382;14,843162;18,395631;-7,639842;12,122823;0,963218
2009-08-31;1,020924;0,999954;-25,437583;-24,316917;-41,486396;-21,957589;1,005428
2009-09-30;0,994224;0,961386;10,516166;14,499579;5,309851;12,212642;1,017913
2009-10-31;1,028313;1,029266;10,128411;14,920484;-5,789442;8,889151;1,037866
2009-11-30;0,986962;0,996144;-0,729105;-1,199053;6,138724;-0,645541;0,984823
2009-12-31;1,019403;1,027871;-42,053777;-32,726988;13,727873;-21,085133;1,024484
2010-01-31;1,000643;1,049288;-3,677213;-22,427156;11,101657;0,642963;0,995223
2010-02-28;0,914735;0,948895;-0,747857;-12,076947;12,450118;-5,087072;0,924445
2010-03-31;1,023999;1,011424;18,127556;11,820268;11,042777;8,360642;1,063191
2010-04-30;0,99311;0,955226;9,833534;10,37984;-16,054838;-2,91017;1,000364
2010-05-31;1,020415;1,00877;-2,765307;1,008623;4,513952;0,810295;0,997947
2010-06-30;0,986649;0,985342;12,44256;20,684683;7,871819;7,431287;0,987464
2010-07-31;1,012615;1,021583;15,381661;18,920262;-8,824876;12,144136;0,96391
2010-08-31;1,0236;0,999396;-26,467225;-23,416254;-43,210072;-20,968609;1,003529
2010-09-30;0,997391;0,963299;11,513887;14,244612;4,96596;11,347175;1,013171
2010-10-31;1,02439;1,028427;9,651694;14,780737;-1,771577;10,01186;1,040207
2010-11-30;0,986425;1,010357;-2,626305;-1,146872;6,692013;0,181584;0,986336
2010-12-31;1,015384;1,039063;-40,610122;-33,083553;11,286884;-21,717856;1,021313
2011-01-31;0,997371;1,039464;-2,296308;-21,168224;11,842673;-0,280667;0,998302
2011-02-28;0,912149;0,940644;-2,101489;-12,755803;11,281431;-3,991466;0,927574
2011-03-31;1,024646;0,994749;17,040482;11,627012;10,425081;8,219982;1,057831
2011-04-30;0,995951;0,955955;10,141152;10,960198;-14,921461;-1,516315;0,999818
2011-05-31;1,022388;1,017733;-1,417819;0,698468;2,895344;0,657848;1,004855
2011-06-30;0,985571;0,995627;13,449907;19,423474;8,214433;5,749578;0,985276
2011-07-31;1,016839;1,020436;14,489131;19,390609;-8,249153;11,918673;0,96477
2011-08-31;1,025102;0,995736;-27,877678;-22,860469;-44,646008;-21,03346;1,001065
