Date;REG1_AC1;LY;REG2_AC1;REG2_AC2;REG3_AC1;REG3_AC2;REG3_AC3;REG5_AC1;REG5_AC2;REG5_AC3;REG5_AC4;REG5_AC5;REG6_AC1;REG6_AC2;REG6_AC3;REG6_AC4;REG6_AC5;REG6_AC6
01/02/1995;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/1995;1.554444444;8.88178E-16;1.3553125;-0.3584375;-0.216651786;1.571964286;-0.3584375;-0.176825397;-0.317896825;0.684246032;0.682103175;0.68281746;-0.216651786;-0.357723214;0.644419643;0.642276786;0.642991071;-0.3584375
01/04/1995;-2.874444444;1.55431E-15;-2.555892857;0.573392857;-0.850892857;-1.705;0.573392857;-0.914603175;-0.491031746;-0.491388889;-0.486746032;-0.490674603;-0.850892857;-0.427321429;-0.427678571;-0.423035714;-0.426964286;0.573392857
01/05/1995;0.971388889;8.88178E-16;0.924352679;-0.084665179;-0.653772321;1.578125;-0.084665179;-0.644365079;0.928313492;1.181170635;-0.420972222;-0.072757937;-0.653772321;0.91890625;1.171763393;-0.430379464;-0.082165179;-0.084665179
01/06/1995;-0.149444444;1.77636E-15;-0.335357143;-0.334642857;-1.046785714;0.711428571;-0.334642857;-1.009603175;-0.296031746;-0.28031746;0.732539683;0.703968254;-1.046785714;-0.333214286;-0.3175;0.695357143;0.666785714;-0.334642857
01/07/1995;-2.226111111;8.88178E-16;-1.877276786;0.627901786;0.625401786;-2.502678571;0.627901786;0.555634921;-0.445079365;-0.446507937;-0.443650794;-1.446507937;0.625401786;-0.3753125;-0.376741071;-0.373883929;-1.376741071;0.627901786
01/08/1995;0.89;8.32667E-16;0.751160714;-0.249910714;-0.249553571;1.000714286;-0.249910714;-0.221785714;-0.221785714;0.778571429;0.778214286;-0.223214286;-0.249553571;-0.249553571;0.750803571;0.750446429;-0.250982143;-0.249910714
01/09/1995;-0.665555556;1.77636E-15;-0.248616071;0.750491071;-0.249866071;0.00125;0.750491071;-0.333253968;-0.333968254;-0.332896825;-0.332896825;0.667460317;-0.249866071;-0.250580357;-0.249508929;-0.249508929;0.750848214;0.750491071
01/10/1995;-0.224444444;8.88178E-16;-0.502544643;-0.500580357;0.499419643;-1.001964286;-0.500580357;0.555039683;0.555753968;-0.445674603;-0.44531746;-0.444246032;0.499419643;0.500133929;-0.501294643;-0.5009375;-0.499866071;-0.500580357
01/11/1995;1.556111111;1.77636E-15;0.9996875;-1.0015625;-0.000848214;1.000535714;-1.0015625;0.110436508;0.112222222;0.111150794;1.111507937;0.110793651;-0.000848214;0.0009375;-0.000133929;1.000223214;-0.000491071;-1.0015625
01/12/1995;-2.221666667;8.88178E-16;-1.8753125;0.6234375;-1.377633929;-0.497678571;0.6234375;-1.446904762;-0.444047619;-0.444047619;-0.444761905;0.558095238;-1.377633929;-0.374776786;-0.374776786;-0.375491071;0.627366071;0.6234375
01/01/1996;0.889444444;0;0.750133929;-0.250758929;-0.249330357;0.999464286;-0.250758929;-0.221468254;0.778531746;0.77781746;-0.223253968;-0.22218254;-0.249330357;0.750669643;0.749955357;-0.251116071;-0.250044643;-0.250758929
01/02/1996;0.86452381;0.757857143;0.847633929;-0.030401786;-0.031473214;0.879107143;-0.030401786;-0.028095238;-0.026309524;-0.028095238;0.974047619;-0.02702381;-0.031473214;-0.0296875;-0.031473214;0.970669643;-0.030401786;-0.030401786
01/03/1996;-1.556666667;8.88178E-16;-1.2696875;0.5165625;-0.341651786;-0.928035714;0.5165625;-0.399047619;-0.540119048;-0.53797619;-0.540119048;0.460595238;-0.341651786;-0.482723214;-0.480580357;-0.482723214;0.517991071;0.5165625
01/04/1996;0.236666667;1.77636E-15;0.069107143;-0.301607143;0.274107143;-0.205;-0.301607143;0.307619048;0.731190476;-0.269166667;-0.26452381;-0.268452381;0.274107143;0.697678571;-0.302678571;-0.298035714;-0.301964286;-0.301607143
01/05/1996;-0.584166667;8.88178E-16;-0.700647321;-0.209665179;-0.778772321;0.078125;-0.209665179;-0.75547619;-0.182797619;-0.929940476;0.467916667;0.816130952;-0.778772321;-0.20609375;-0.953236607;0.444620536;0.792834821;-0.209665179
01/06/1996;-1.705;1.77636E-15;-1.335357143;0.665357143;-0.046785714;-1.288571429;0.665357143;-0.120714286;-0.407142857;-0.391428571;-0.378571429;-0.407142857;-0.046785714;-0.333214286;-0.3175;-0.304642857;-0.333214286;0.665357143
01/07/1996;2.440555556;7.77156E-16;2.372723214;-0.122098214;0.875401786;1.497321429;-0.122098214;0.888968254;0.888253968;0.886825397;-0.11031746;-0.113174603;0.875401786;0.8746875;0.873258929;-0.123883929;-0.126741071;-0.122098214
01/08/1996;-0.665555556;7.77156E-16;-0.248839286;0.750089286;-0.249553571;0.000714286;0.750089286;-0.332896825;-0.332896825;-0.332539683;-0.332896825;0.665674603;-0.249553571;-0.249553571;-0.249196429;-0.249553571;0.749017857;0.750089286
01/09/1996;-0.665555556;1.77636E-15;-0.873616071;-0.374508929;0.625133929;-1.49875;-0.374508929;0.666746032;-0.333968254;-0.332896825;-0.332896825;-0.332539683;0.625133929;-0.375580357;-0.374508929;-0.374508929;-0.374151786;-0.374508929
01/10/1996;1.331111111;8.88178E-16;1.122455357;-0.375580357;-0.375580357;1.498035714;-0.375580357;-0.333849206;0.666865079;0.665436508;0.665793651;-0.333134921;-0.375580357;0.625133929;0.623705357;0.6240625;-0.374866071;-0.375580357
01/11/1996;-1.555;1.66533E-15;-1.0003125;0.9984375;-1.000848214;0.000535714;0.9984375;-1.111785714;-0.11;-0.111071429;-0.110714286;-0.111428571;-1.000848214;0.0009375;-0.000133929;0.000223214;-0.000491071;0.9984375
01/12/1996;-0.666111111;8.88178E-16;-0.8753125;-0.3765625;0.622366071;-1.497678571;-0.3765625;0.664206349;0.667063492;-1.332936508;-0.333650794;-0.330793651;0.622366071;0.625223214;-1.374776786;-0.375491071;-0.372633929;-0.3765625
01/01/1997;0.889444444;0;0.750133929;-0.250758929;-0.249330357;0.999464286;-0.250758929;-0.221468254;-0.221468254;-0.22218254;0.776746032;0.77781746;-0.249330357;-0.249330357;-0.250044643;0.748883929;0.749955357;-0.250758929
01/02/1997;-0.13547619;-0.242142857;-0.152366071;-0.030401786;-0.031473214;-0.120892857;-0.030401786;-0.028095238;-0.026309524;-0.028095238;-0.025952381;-0.02702381;-0.031473214;-0.0296875;-0.031473214;-0.029330357;-0.030401786;-0.030401786
01/03/1997;-3.112222222;8.88178E-16;-2.8946875;0.3915625;-0.466651786;-2.428035714;0.3915625;-0.51015873;-0.651230159;-0.649087302;-0.651230159;-0.650515873;-0.466651786;-0.607723214;-0.605580357;-0.607723214;-0.607008929;0.3915625
